v;trim;geo;cod-ca;ca;cod-prv;prv;loc-num;loc-imp;loc-pm2;nav-num;nav-imp;nav-pm2
2007;1;Nacional;99;ESPAÑA;99;ESPAÑA;84133;180572;1708,49;15718;532989;741,35
2007;1;Comunidad;1;Andalucía;98;ANDALUCÍA;14193;133037;1375,80;3524;266002;563,86
2007;1;Provincia;1;Andalucía;4;Almería;1196;134066;1266,42;193;223179;494,93
2007;1;Provincia;1;Andalucía;11;Cádiz;2027;138306;1447,21;434;339739;532,85
2007;1;Provincia;1;Andalucía;14;Córdoba;1504;110472;1052,18;420;144514;616,09
2007;1;Provincia;1;Andalucía;18;Granada;2166;97540;1093,10;291;232530;480,53
2007;1;Provincia;1;Andalucía;21;Huelva;661;146910;1382,42;278;189206;518,60
2007;1;Provincia;1;Andalucía;23;Jaén;863;111679;897,76;209;154195;308,38
2007;1;Provincia;1;Andalucía;29;Málaga;2946;168668;1863,42;404;441833;750,59
2007;1;Provincia;1;Andalucía;41;Sevilla;2830;136153;1433,06;1295;266948;587,88
2007;1;Comunidad;2;Aragón;98;ARAGÓN;2031;198685;1584,21;965;452384;749,96
2007;1;Provincia;2;Aragón;22;Huesca;446;116852;1229,37;87;392295;455,64
2007;1;Provincia;2;Aragón;44;Teruel;152;102900;963,39;52;197487;321,68
2007;1;Provincia;2;Aragón;50;Zaragoza;1433;232111;1748,74;826;469377;794,84
2007;1;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;2279;212394;1240,52;184;475043;627,76
2007;1;Provincia;3;Principado de Asturias;33;Asturias;2279;212394;1240,52;184;475043;627,76
2007;1;Comunidad;4;Illes Balears;98;ILLES BALEARS;2038;203319;1747,22;191;691043;878,08
2007;1;Provincia;4;Illes Balears;7;Illes Balears;2038;203319;1747,22;191;691043;878,08
2007;1;Comunidad;5;Canarias;98;CANARIAS;3432;198318;1858,28;224;691441;777,87
2007;1;Provincia;5;Canarias;35;Las Palmas;1700;207447;2015,05;153;737636;775,73
2007;1;Provincia;5;Canarias;38;Santa Cruz de Tenerife;1732;189015;1698,50;71;594011;782,39
2007;1;Comunidad;6;Cantabria;98;CANTABRIA;1211;120472;1457,63;137;372338;746,17
2007;1;Provincia;6;Cantabria;39;Cantabria;1211;120472;1457,63;137;372338;746,17
2007;1;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;3863;134888;1251,89;536;283300;547,96
2007;1;Provincia;7;Castilla y León;5;Ávila;154;80247;932,44;36;92171;423,05
2007;1;Provincia;7;Castilla y León;9;Burgos;773;136119;1365,24;154;319461;578,09
2007;1;Provincia;7;Castilla y León;24;León;840;129608;1022,34;40;379824;320,01
2007;1;Provincia;7;Castilla y León;34;Palencia;280;77718;983,99;40;121431;322,06
2007;1;Provincia;7;Castilla y León;37;Salamanca;462;174286;1307,80;73;274153;491,06
2007;1;Provincia;7;Castilla y León;40;Segovia;123;123268;1265,50;20;602219;670,77
2007;1;Provincia;7;Castilla y León;42;Soria;164;85432;964,84;32;296325;437,73
2007;1;Provincia;7;Castilla y León;47;Valladolid;848;151479;1634,57;129;304486;677,16
2007;1;Provincia;7;Castilla y León;49;Zamora;219;173099;1130,65;12;216364;394,16
2007;1;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;2300;136091;1129,02;1245;352981;513,63
2007;1;Provincia;8;Castilla-La Mancha;2;Albacete;753;123338;990,29;326;240268;435,86
2007;1;Provincia;8;Castilla-La Mancha;13;Ciudad Real;486;123966;1033,74;156;219298;363,00
2007;1;Provincia;8;Castilla-La Mancha;16;Cuenca;209;107693;1004,65;17;137833;231,92
2007;1;Provincia;8;Castilla-La Mancha;19;Guadalajara;290;182422;1336,07;181;610744;619,29
2007;1;Provincia;8;Castilla-La Mancha;45;Toledo;562;145301;1300,01;565;362623;567,08
2007;1;Comunidad;9;Cataluña;98;CATALUÑA;14356;219208;2054,80;2728;1116376;995,00
2007;1;Provincia;9;Cataluña;8;Barcelona;10060;250575;2346,29;1707;1555841;1222,12
2007;1;Provincia;9;Cataluña;17;Girona;1742;153865;1579,63;377;681426;780,26
2007;1;Provincia;9;Cataluña;25;Lleida;1082;158235;1231,66;243;442090;552,46
2007;1;Provincia;9;Cataluña;43;Tarragona;1472;137449;1317,33;401;478874;714,75
2007;1;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;10195;150434;1310,99;1756;455287;683,05
2007;1;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;4123;143340;1271,13;460;322725;623,88
2007;1;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;1427;118324;1166,68;372;409895;670,47
2007;1;Provincia;10;Comunitat Valenciana;46;Valencia / València;4645;167007;1392,62;924;525405;710,98
2007;1;Comunidad;11;Extremadura;98;EXTREMADURA;1501;108839;974,14;464;145392;327,99
2007;1;Provincia;11;Extremadura;6;Badajoz;966;115626;1012,55;316;152804;339,72
2007;1;Provincia;11;Extremadura;10;Cáceres;535;96656;905,19;148;115469;280,65
2007;1;Comunidad;12;Galicia;98;GALICIA;4228;122184;1116,13;295;481574;503,95
2007;1;Provincia;12;Galicia;15;A Coruña;1417;115015;1120,03;133;343907;550,52
2007;1;Provincia;12;Galicia;27;Lugo;707;98513;874,90;37;365112;351,92
2007;1;Provincia;12;Galicia;32;Ourense;586;96637;793,73;17;270734;297,83
2007;1;Provincia;12;Galicia;36;Pontevedra;1518;147907;1321,40;108;764597;521,08
2007;1;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;8896;310930;2911,37;1464;748011;1152,19
2007;1;Provincia;13;Comunidad de Madrid;28;Madrid;8896;310930;2911,37;1464;748011;1152,19
2007;1;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;2569;128133;1115,67;519;307859;417,75
2007;1;Provincia;14;Región de Murcia;30;Murcia;2569;128133;1115,67;519;307859;417,75
2007;1;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;1502;142117;1501,75;345;469908;826,69
2007;1;Provincia;15;C. Foral de Navarra;31;Navarra;1502;142117;1501,75;345;469908;826,69
2007;1;Comunidad;16;País Vasco;98;PAÍS VASCO;7287;183873;2075,05;1015;652076;954,75
2007;1;Provincia;16;País Vasco;1;Araba / Álava;761;177801;1820,31;189;306365;628,33
2007;1;Provincia;16;País Vasco;20;Gipuzkoa;2716;164801;2120,77;445;562347;896,28
2007;1;Provincia;16;País Vasco;48;Bizkaia;3810;198514;2087,72;381;851006;1112,76
2007;1;Comunidad;17;La Rioja;98;LA RIOJA;2147;105776;1233,54;95;260602;560,35
2007;1;Provincia;17;La Rioja;26;La Rioja;2147;105776;1233,54;95;260602;560,35
2007;1;Comunidad;18;Ceuta;98;CEUTA;56;132653;1157,59;5;162088;499,49
2007;1;Provincia;18;Ceuta;51;Ceuta;56;132653;1157,59;5;162088;499,49
2007;1;Comunidad;19;Melilla;98;MELILLA;49;105426;1002,07;26;141966;627,63
2007;1;Provincia;19;Melilla;52;Melilla;49;105426;1002,07;26;141966;627,63
2007;2;Nacional;99;ESPAÑA;99;ESPAÑA;82439;184019;1757,16;15273;552144;751,81
2007;2;Comunidad;1;Andalucía;98;ANDALUCÍA;13742;137324;1416,99;3153;275819;572,22
2007;2;Provincia;1;Andalucía;4;Almería;1091;140383;1275,51;207;237959;511,61
2007;2;Provincia;1;Andalucía;11;Cádiz;2087;137894;1514,63;433;377629;574,58
2007;2;Provincia;1;Andalucía;14;Córdoba;1431;122965;1097,09;305;158772;553,80
2007;2;Provincia;1;Andalucía;18;Granada;2091;100053;1109,25;272;369232;480,58
2007;2;Provincia;1;Andalucía;21;Huelva;670;153994;1421,86;265;156322;482,35
2007;2;Provincia;1;Andalucía;23;Jaén;884;133821;944,74;191;175883;347,64
2007;2;Provincia;1;Andalucía;29;Málaga;2855;171536;1899,87;345;474909;751,66
2007;2;Provincia;1;Andalucía;41;Sevilla;2633;134527;1489,03;1135;235893;611,06
2007;2;Comunidad;2;Aragón;98;ARAGÓN;1903;202578;1657,35;1040;390891;678,54
2007;2;Provincia;2;Aragón;22;Huesca;404;133290;1318,84;91;380976;530,06
2007;2;Provincia;2;Aragón;44;Teruel;151;95213;941,01;69;181434;327,93
2007;2;Provincia;2;Aragón;50;Zaragoza;1348;232065;1820,39;880;405065;713,58
2007;2;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;2247;213041;1251,53;215;422030;615,45
2007;2;Provincia;3;Principado de Asturias;33;Asturias;2247;213041;1251,53;215;422030;615,45
2007;2;Comunidad;4;Illes Balears;98;ILLES BALEARS;2065;217608;1796,42;197;509380;874,76
2007;2;Provincia;4;Illes Balears;7;Illes Balears;2065;217608;1796,42;197;509380;874,76
2007;2;Comunidad;5;Canarias;98;CANARIAS;3241;195679;1877,99;212;734197;778,00
2007;2;Provincia;5;Canarias;35;Las Palmas;1522;203336;2040,99;134;787548;797,93
2007;2;Provincia;5;Canarias;38;Santa Cruz de Tenerife;1719;188783;1731,19;78;648835;746,10
2007;2;Comunidad;6;Cantabria;98;CANTABRIA;1091;127373;1538,63;119;381590;764,66
2007;2;Provincia;6;Cantabria;39;Cantabria;1091;127373;1538,63;119;381590;764,66
2007;2;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;3948;139105;1298,11;553;299957;591,25
2007;2;Provincia;7;Castilla y León;5;Ávila;167;71299;881,15;32;65384;432,97
2007;2;Provincia;7;Castilla y León;9;Burgos;735;151193;1419,50;187;371292;701,21
2007;2;Provincia;7;Castilla y León;24;León;826;131048;1048,70;51;230273;358,02
2007;2;Provincia;7;Castilla y León;34;Palencia;233;83016;1080,72;26;155928;362,49
2007;2;Provincia;7;Castilla y León;37;Salamanca;458;173756;1336,05;58;242334;494,84
2007;2;Provincia;7;Castilla y León;40;Segovia;134;119377;1285,30;32;602219;670,77
2007;2;Provincia;7;Castilla y León;42;Soria;147;89791;1061,83;33;388833;404,23
2007;2;Provincia;7;Castilla y León;47;Valladolid;1022;136378;1580,83;119;285071;654,49
2007;2;Provincia;7;Castilla y León;49;Zamora;226;220834;1314,04;15;212922;347,13
2007;2;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;2220;144859;1163,90;1251;309324;517,25
2007;2;Provincia;8;Castilla-La Mancha;2;Albacete;685;133888;984,27;349;234431;437,58
2007;2;Provincia;8;Castilla-La Mancha;13;Ciudad Real;506;137514;1149,73;163;237762;363,32
2007;2;Provincia;8;Castilla-La Mancha;16;Cuenca;194;115487;1074,24;19;115375;338,33
2007;2;Provincia;8;Castilla-La Mancha;19;Guadalajara;265;195116;1442,03;141;287408;588,80
2007;2;Provincia;8;Castilla-La Mancha;45;Toledo;570;148763;1272,39;579;391618;594,53
2007;2;Comunidad;9;Cataluña;98;CATALUÑA;13686;221601;2097,29;2604;1232230;1043,42
2007;2;Provincia;9;Cataluña;8;Barcelona;9534;251778;2398,76;1644;1790046;1319,32
2007;2;Provincia;9;Cataluña;17;Girona;1625;158727;1617,67;372;632227;802,10
2007;2;Provincia;9;Cataluña;25;Lleida;1081;171740;1270,32;218;444874;579,42
2007;2;Provincia;9;Cataluña;43;Tarragona;1446;141157;1355,04;370;484069;668,06
2007;2;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;10119;152529;1377,49;1930;532538;694,53
2007;2;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;4143;145939;1337,21;459;339218;633,04
2007;2;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;1350;113665;1187,37;476;632943;722,23
2007;2;Provincia;10;Comunitat Valenciana;46;Valencia / València;4626;170259;1471,44;995;553682;703,30
2007;2;Comunidad;11;Extremadura;98;EXTREMADURA;1331;108128;962,56;443;131649;320,18
2007;2;Provincia;11;Extremadura;6;Badajoz;854;115430;1021,49;282;145307;338,70
