ano,trim,geo,cod-ca,ca,cod-prv,prv,viv-num,viv-imp,viv-pm2,gar-num,gar-imp,gar-pm2,tras-num,tras-imp,tras-pm2,Unnamed: 16,sector,v,loc-num,loc-imp,loc-pm2,nav-num,nav-imp,nav-pm2
2007.0,1,Nacional,99,ESPAÑA,99,ESPAÑA,893310.0,174711.0,"1961,66",345635.0,16844.0,"1160,21",66561.0,6044.0,"984,48",,residential,,,,,,,
2007.0,1,Comunidad,1,Andalucía,98,ANDALUCÍA,176557.0,140505.0,"1458,45",60792.0,16087.0,"930,40",10691.0,6000.0,"902,23",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,4,Almería,21968.0,126541.0,"1471,91",7130.0,15716.0,"946,15",1024.0,4547.0,"777,96",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,11,Cádiz,27166.0,140283.0,"1423,03",7176.0,15482.0,"898,21",1111.0,5613.0,"819,35",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,14,Córdoba,11872.0,116923.0,"1187,94",5323.0,14322.0,"753,53",499.0,5033.0,"677,64",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,18,Granada,17086.0,124999.0,"1284,45",7222.0,14463.0,"785,19",1209.0,4646.0,"688,71",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,21,Huelva,11930.0,143299.0,"1506,86",2528.0,17413.0,"1045,15",623.0,5400.0,"943,77",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,23,Jaén,9019.0,94765.0,"909,55",3158.0,10945.0,"790,40",586.0,5588.0,"851,43",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,29,Málaga,43279.0,174453.0,"1795,08",16368.0,18310.0,"963,10",3771.0,7073.0,"1009,93",,residential,,,,,,,
2007.0,1,Provincia,1,Andalucía,41,Sevilla,34237.0,134073.0,"1343,52",11887.0,16650.0,"1078,57",1868.0,6406.0,"1005,94",,residential,,,,,,,
2007.0,1,Comunidad,2,Aragón,98,ARAGÓN,23005.0,177662.0,"2139,55",8867.0,17050.0,"1218,31",3718.0,5711.0,"939,13",,residential,,,,,,,
2007.0,1,Provincia,2,Aragón,22,Huesca,5469.0,148996.0,"1876,77",2969.0,14285.0,"932,12",1568.0,4348.0,"660,31",,residential,,,,,,,
2007.0,1,Provincia,2,Aragón,44,Teruel,2077.0,100112.0,"1002,34",556.0,14950.0,"1118,62",192.0,4762.0,"728,27",,residential,,,,,,,
2007.0,1,Provincia,2,Aragón,50,Zaragoza,15459.0,194623.0,"2337,39",5342.0,18805.0,"1387,71",1958.0,6772.0,"1157,59",,residential,,,,,,,
2007.0,1,Comunidad,3,Principado de Asturias,98,PRINCIPADO DE ASTURIAS,18780.0,124730.0,"1531,29",10589.0,13181.0,"974,60",2749.0,4403.0,"855,20",,residential,,,,,,,
2007.0,1,Provincia,3,Principado de Asturias,33,Asturias,18780.0,124730.0,"1531,29",10589.0,13181.0,"974,60",2749.0,4403.0,"855,20",,residential,,,,,,,
2007.0,1,Comunidad,4,Illes Balears,98,ILLES BALEARS,25370.0,180250.0,"2010,85",10079.0,15291.0,"1224,78",1732.0,5049.0,"1023,33",,residential,,,,,,,
2007.0,1,Provincia,4,Illes Balears,7,Illes Balears,25370.0,180250.0,"2010,85",10079.0,15291.0,"1224,78",1732.0,5049.0,"1023,33",,residential,,,,,,,
2007.0,1,Comunidad,5,Canarias,98,CANARIAS,42665.0,126744.0,"1575,50",13198.0,16424.0,"1145,51",2427.0,4914.0,"945,46",,residential,,,,,,,
2007.0,1,Provincia,5,Canarias,35,Las Palmas,22095.0,124839.0,"1571,27",6477.0,18574.0,"1278,77",1372.0,5269.0,"1020,57",,residential,,,,,,,
2007.0,1,Provincia,5,Canarias,38,Santa Cruz de Tenerife,20570.0,128674.0,"1579,78",6721.0,14265.0,"1011,68",1055.0,4441.0,"845,49",,residential,,,,,,,
2007.0,1,Comunidad,6,Cantabria,98,CANTABRIA,12661.0,157852.0,"1784,71",5736.0,15697.0,"937,31",1325.0,6589.0,"930,46",,residential,,,,,,,
